Date,Open,High,Low,Close,Adj Close,Volume
2024-06-14,4692.000000,4759.950195,4671.049805,4739.950195,4739.950195,258982
2024-06-18,4739.950195,5080.000000,4734.799805,5039.299805,5039.299805,2054168
2024-06-19,5079.000000,5219.000000,4901.350098,4933.899902,4933.899902,1438750
2024-06-20,4947.450195,5022.500000,4832.200195,4861.700195,4861.700195,577843
2024-06-21,4928.000000,5082.950195,4763.000000,4804.850098,4804.850098,726519
2024-06-24,4792.000000,4875.000000,4765.850098,4833.700195,4833.700195,356824
2024-06-25,4850.000000,4905.000000,4755.000000,4783.350098,4783.350098,376890
2024-06-26,4775.000000,4823.950195,4690.000000,4801.000000,4801.000000,546313
2024-06-27,4819.950195,4960.000000,4738.000000,4900.100098,4900.100098,503719
2024-06-28,4900.000000,4921.950195,4680.000000,4716.750000,4716.750000,685009
2024-07-01,4725.100098,4754.450195,4612.500000,4735.899902,4735.899902,642169
2024-07-02,4759.100098,4825.250000,4719.549805,4773.850098,4773.850098,360009
2024-07-03,4760.000000,4810.899902,4700.700195,4792.899902,4792.899902,799111
2024-07-04,4785.100098,4825.000000,4725.000000,4768.100098,4768.100098,317759
2024-07-05,4768.850098,4871.000000,4742.799805,4853.100098,4853.100098,359691
